fecha,descripcion,referencia,valor,moneda_id,cuenta_id,terceroid,grupoid,conceptoid
2025-02-18,Compra D1 S A S Fact G5R440150,G5R440150,-342960.0,1,,,,
2025-02-18,Compra F2X S.A.S. Fact DEFL21191003,DEFL21191003,-12900.0,1,,,,
2025-02-18,Compra FIJACIONES OROZCO S.A.S. Fact ECRE53306,ECRE53306,-102340.0,1,,,,
2025-02-14,Compra F2X S.A.S. Fact DEFL20626757,DEFL20626757,-25000.0,1,,,,
2025-02-13,Compra INVERSIONES RAMEJ S.A.S Fact EPOS94305,EPOS94305,-165700.0,1,,,,
2025-02-11,Compra F2X S.A.S. Fact DEFL20103042,DEFL20103042,-12900.0,1,,,,
2025-02-11,Compra PRICESMART COLOMBIA S.A.S. Fact FECO2750479,FECO2750479,-816667.0,1,,,,
2025-02-08,Compra D1 S A S Fact G5R346628,G5R346628,-81350.0,1,,,,
2025-02-05,Compra F2X S.A.S. Fact FLYP6893315,FLYP6893315,-1500.0,1,,,,
2025-02-04,Compra F2X S.A.S. Fact DEFL18973855,DEFL18973855,-12900.0,1,,,,
2025-02-01,Compra D1 S A S Fact G5R345319,G5R345319,-115890.02,1,,,,
2025-02-01,Compra F2X S.A.S. Fact DEFL18532243,DEFL18532243,-25000.0,1,,,,
2025-01-29,Compra F2X S.A.S. Fact DEFL18004531,DEFL18004531,-25000.0,1,,,,
2025-01-29,Compra GRUPO R5 LIMITADA Fact FCM79545,FCM79545,-4900.0,1,,,,
2025-01-29,Compra SEGUROS COMERCIALES BOLIVAR SA Fact POL12457753,POL12457753,-326300.0,1,,,,
2025-01-23,Compra CAPIRO VIVERO S.A.S Fact FE19390,FE19390,-296999.98,1,,,,
2025-01-21,Compra F2X S.A.S. Fact DEFL16789286,DEFL16789286,-12900.0,1,,,,
2025-01-21,Compra PRICESMART COLOMBIA S.A.S. Fact FECO2307873,FECO2307873,-521691.0,1,,,,
2025-01-14,Compra COOPERATIVA COLANTA Fact 145E53631,145E53631,-50850.0,1,,,,
2025-01-14,Compra F2X S.A.S. Fact DEFL15651369,DEFL15651369,-12900.0,1,,,,
2025-01-14,Compra PRICESMART COLOMBIA S.A.S. Fact FECO2163073,FECO2163073,-1744545.0,1,,,,
2025-01-13,Compra EL COLOMBIANO S.A.S. Fact 5214144297,5214144297,-415900.0,1,,,,
2025-01-10,Compra F2X S.A.S. Fact FLYP6686778,FLYP6686778,-2100.0,1,,,,
2025-01-04,Compra D1 S A S Fact G5R339256,G5R339256,-126120.0,1,,,,
2025-01-02,Compra VELOCITY FULLCOMMERCE S.A.S Fact FEMC145532,FEMC145532,-244860.0,1,,,,
2024-12-30,Compra F2X S.A.S. Fact DEFL13441173,DEFL13441173,-12200.0,1,,,,
2024-12-28,Compra D1 S A S Fact G5R337720,G5R337720,-329300.01,1,,,,
2024-12-26,Compra MATERIALES MAESTRO COLOMBIA SAS Fact FE11044,FE11044,-10003.4,1,,,,
2024-12-25,Compra IKSO SAS Fact F591165661,F591165661,-407780.0,1,,,,
2024-12-24,Compra F2X S.A.S. Fact DEFL12492560,DEFL12492560,-23800.0,1,,,,
2024-12-18,Compra F2X S.A.S. Fact DEFL11434483,DEFL11434483,-12200.0,1,,,,
2024-12-18,Compra FIJACIONES OROZCO S.A.S. Fact ECRE51479,ECRE51479,-24990.0,1,,,,
